MachineName,PrimaryUser,SystemManufacturer,SystemProduct,SystemModel,CPUProduct,CPU Speed(MHz),Device CreateDate,Hard DiskSpace,Free DiskSpace,IP Address
fbe-120535,mq20096747,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,04/22/2014,244191,101865,10.41.66.3
fbe-120543,mq20069993,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,04/22/2014,244191,103709,10.41.59.92
fbe-120550,mq96316896,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,05/23/2014,244191,184313,10.41.28.113
fbe-120568,mq20111732,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,04/23/2014,244191,103483,10.41.33.129
fbe-120576,mq42258790,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,04/23/2014,244196,67687,10.72.7.134
fbe-120584,mq20101264,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,04/22/2014,244191,189811,10.41.22.119
fbe-120592,mq86502549,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,04/22/2014,244191,46873,192.168.1.14
fbe-120600,mq20072673,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,4/04/2014,244191,177211,192.168.0.12
fbe-120618,mq20112662,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,4/04/2014,244191,55327,10.72.3.135
fbe-120626,mq20022298,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,04/22/2014,244191,103581,192.168.43.30
fbe-120634,42010551,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,04/22/2014,244191,92993,10.72.185.71
fbe-120642,mq20069750,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,04/22/2014,244191,51121,10.41.59.43
fbe-120659,MQ20139961,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,04/22/2014,244191,102235,10.41.62.16
fbe-120667,mq20125514,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,04/22/2014,244191,178507,10.41.59.154
fbe-120675,41157893,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,04/22/2014,244196,136485,10.72.90.191
fbe-120683,mq20033694,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,04/23/2014,244191,173202,10.41.36.64
fbe-120691,mq20071976,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,04/22/2014,244191,61585,192.168.0.7
fbe-120709,mq20069898,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,3/07/2014,244191,84438,10.72.3.181
fbe-120717,mq76500004,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,3/07/2014,2151887,1991183,10.72.2.97
fbe-120725,43468233,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,3/07/2014,244191,28334,192.168.1.12
fbe-120733,mq20095956,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,3/07/2014,244191,156007,10.72.3.26
fbe-120741,mq20121484,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,3/07/2014,244191,169223,10.41.57.181
fbe-120758,mq20046299,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,3/07/2014,244191,174105,10.41.29.48
fbe-120766,mq20073628,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,3/07/2014,244196,183852,10.72.3.67
fbe-120774,MQ20143416,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,02/25/2014,244191,177060,10.72.2.254
